pageid	title	user	userid	date	date_kind	lon	lat	method	confidence	place	resolved	osm_kind	evidence
113081667	File:Biểu tượng Hà Nội bên ngoài ga Cát Linh.jpg	Tttrung	8567	2021-12-05	taken	105.828748	21.029238	vision	0.75	Ga Cát Linh, Hanoi	Ga Cát Linh, Phường Ô Chợ Dừa, Thành phố Hà Nội, 11511, Việt Nam	landuse/construction	Close-up of circular Hanoi emblem on station wall with glass facade above.
122588557	File:Bưu điện Hà Nội - 2022-09-02 01.jpg	The Hanoian	11517268	2022:09:02 12:53:16	taken	105.853673	21.026698	vision	0.80	Bưu điện Hà Nội, Đinh Tiên Hoàng, Hanoi	Bưu điện Thành phố Hà Nội, 75, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, Thành ph	amenity/post_office	Post office block with VNPT Hà Nội rooftop sign along tree-lined lakeside street.
121403575	File:Bưu điện Hà Nội trên đường Đinh Tiên Hoàng.jpg	Nguyenmy2302	9748661	2022-08-04	taken	105.853646	21.026420	vision	0.70	Bưu điện Hà Nội, 75 Đinh Tiên Hoàng, Hanoi	Tòa nhà trung tâm Bưu điện Hà Nội, 75, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, 	building/yes	Post office frontage with VNPost mailbox, lakeside trees across Đinh Tiên Hoàng
121403573	File:Bưu điện Hà Nội đối diện với tháp Hòa Phong.jpg	Nguyenmy2302	9748661	2022-08-04	taken	105.853646	21.026420	vision	0.75	Bưu điện Hà Nội, 75 Đinh Tiên Hoàng, Hanoi	Tòa nhà trung tâm Bưu điện Hà Nội, 75, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, 	building/yes	White post office block with clock tower at right, Hòa Phong tower under lakeside trees at left
89263310	File:Bệnh viện thể thao.jpg	Hoangkid	1938128	2012:07:22 10:46:29	taken	105.761529	21.023108	vision	0.85	Bệnh viện Thể thao Việt Nam, Hanoi	Bệnh viện Thể thao Việt Nam, Phố Đỗ Xuân Hợp, Xuân Phong, Phường Từ Liêm, Thành phố Hà Nội	amenity/hospital	Blue facade lettering reads BỆNH VIỆN THỂ THAO VIỆT NAM / Vietnam Sport Hospital
93337423	File:Cho Dong Xuan ban dem.jpg	Bdanh	6515528	2010:09:29 21:12:15	taken	105.849671	21.038256	vision	0.90	Chợ Đồng Xuân, Hanoi	Chợ Đồng Xuân, Phố Cầu Đông, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Việt N	amenity/marketplace	Lit triple-arch Đồng Xuân market facade at night
5604902	File:Cho Dong Xuan.jpg	Paris 16	269373	2008:10:07 17:03:11	taken	105.849671	21.038256	vision	0.90	Chợ Đồng Xuân, Hanoi	Chợ Đồng Xuân, Phố Cầu Đông, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Việt N	amenity/marketplace	Market facade with CHỢ ĐỒNG XUÂN lettering and arched gables
123349354	File:Chua-Mot-Cot. Pagode montée sur un pilier.jpg	Đại Việt quốc	11655741	2014-12-27 09:19:05	taken	105.833614	21.035856	vision	0.85	Chùa Một Cột, Hanoi	Chùa Một Cột, Phố Ông Ích Khiêm, Xuân Biểu, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt 	amenity/place_of_worship	Postcard showing single-pillar pagoda over pond, caption Chua-Mot-Cot
48607124	File:Chùa Trấn Quốc (Hà Nội).jpg	Bùi Thụy Đào Nguyên	2438478	2016:04:11 18:48:27	taken	105.836838	21.047884	vision	0.85	Chùa Trấn Quốc, Hanoi	Chùa Trấn Quốc, Đường Thanh Niên, Yên Phụ, Phường Tây Hồ, Thành phố Hà Nội, 11214, Việt Na	amenity/place_of_worship	Illuminated red multi-tier stupa reflected in West Lake at night
124244403	File:Chợ Đồng Xuân - NKS.jpg	NKSTTSSHNVN	10985169	2022-10-16	taken	105.849671	21.038256	vision	0.90	Chợ Đồng Xuân, Hanoi	Chợ Đồng Xuân, Phố Cầu Đông, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Việt N	amenity/marketplace	Market facade with CHỢ ĐỒNG XUÂN lettering and arches, daytime
147918771	File:Cot co Ha Noi.jpg	Tranminh360	818237	1935	taken	105.839825	21.032590	vision	0.70	Cột cờ Hà Nội, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Old halftone of the Flag Tower with stepped base
190437990	File:Couple posing for the Ho Chi Minh Mausoleum (1).jpg	Hardscarf	3750	2024:12:07 09:23:31	taken	105.835792	21.036987	vision	0.85	Quảng trường Ba Đình, Hanoi	Quảng trường Ba Đình, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	place/square	Ho Chi Minh Mausoleum across the gridded lawn of Ba Đình Square
94058343	File:Cua chinh SVD My Dinh.JPG	Gkbank	502286	2008:07:28 18:41:01	taken	105.763927	21.020503	vision	0.80	Sân vận động Quốc gia Mỹ Đình, Hanoi	Sân vận động Quốc gia Mỹ Đình, 1, Đường Lê Đức Thọ, Xuân Phong, Phường Từ Liêm, Thành phố 	leisure/stadium	Large stadium with arched roof and floodlight masts across wide plaza, matches My Dinh main gate side
3101941	File:Cung văn hóa Hữu nghị Việt-Xô.jpg	Nguyễn Thanh Quang	4539	2007:08:28 20:47:09	taken	105.844287	21.022374	vision	0.80	Cung Văn hóa Hữu nghị Việt-Xô, Hanoi	Cung Văn hóa Lao động Hữu nghị Việt Xô, 91, Phố Trần Hưng Đạo, Phường Cửa Nam, Thành phố H	amenity/community_centre	Long colonnaded Soviet-style palace facade with red banner, flags and roundabout garden in front
119578775	File:Các bậc thềm dẫn từ hồ Tây lên đền Quán Thánh. Ảnh của André Firmin Salles chụp năm 1896.jpg	Donald Trung	6592656	Published before 1945.	taken	105.836587	21.043006	vision	0.70	Đền Quán Thánh, Hanoi	Đền Quán Thánh, 194, Phố Quán Thánh, Ngũ Xá, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt	amenity/place_of_worship	Four-pillar temple gate atop stone steps rising from shore, matches Quán Thánh gate in 1890s
119578774	File:Cổng vào đền Quán Thánh cuối thế kỷ 19, đầu thế kỷ 20, hồ Tây sát mép đền.jpg	Donald Trung	6592656	Published before 1945.	taken	105.836587	21.043006	vision	0.70	Đền Quán Thánh, Hanoi	Đền Quán Thánh, 194, Phố Quán Thánh, Ngũ Xá, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt	amenity/place_of_worship	Four-pillar temple gate and steps directly on lake edge with boat, 1900s West Lake shoreline
121401361	File:Cột đồng hồ tòa nhà trung tâm Bưu điện Hà Nội.jpg	Nguyenmy2302	9748661	2022-08-04	taken	105.853646	21.026420	vision	0.85	Bưu điện Hà Nội, 75 Đinh Tiên Hoàng, Hanoi	Tòa nhà trung tâm Bưu điện Hà Nội, 75, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, 	building/yes	Clock tower above large 'HÀ NỘI' lettering of the central post office, seen through lakeside trees
7822599	File:Dai hoc xay dung.jpg	Engineer1~commonswiki	841001	2009-09-15T23:08:25Z	uploaded	105.843267	21.003233	vision	0.85	Trường Đại học Xây dựng, 55 Giải Phóng, Hanoi	Trường Đại học Xây dựng Hà Nội, 55, Đường Giải Phóng, Bách Kinh Xây, Phường Bạch Mai, Thàn	amenity/university	Tower block with 'ĐẠI HỌC XÂY DỰNG' lettering and university logo
30049490	File:Den Ba Kieu.JPG	Codobai	854926	2012:10:24 03:08:37	taken	105.853600	21.031160	vision	0.80	Đền Bà Kiệu, 59 Đinh Tiên Hoàng, Hanoi	Đền Bà Kiệu, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, V	amenity/place_of_worship	Low tiled temple hall directly on busy lakeside street under large trees, matches Bà Kiệu opposite Ngọc Sơn
24717020	File:Den tho An Duong Vuong tai Co Loa.JPG	VuThiAnh	820179	2013:02:17 14:09:12	taken	105.871514	21.112523	vision	0.80	Đền thờ An Dương Vương, Cổ Loa, Đông Anh, Hanoi	Đền thờ An Dương Vương, Ngõ 47 Đường Cổ Loa, Xã Đông Anh, Thành phố Hà Nội, 12323, Việt Na	amenity/place_of_worship	Distinctive mossy three-arch gate with tiered bell-tower top and stone steps, Cổ Loa temple
89175108	File:Dh su pham.jpg	Hakutora	4943107	2018:03:09 09:23:01	taken	105.784262	21.039004	vision	0.85	Trường Đại học Sư phạm Hà Nội, 136 Xuân Thủy, Hanoi	Trường Đại học Sư phạm Hà Nội, 136, Đường Xuân Thủy, Hoài Đức Phủ, Kẻ Vòng (Dịch Vọng), Ph	amenity/university	Main building with lettering 'TRƯỜNG ĐẠI HỌC SƯ PHẠM HÀ NỘI' above entrance
66631770	File:Dong Xuan Market market in the Hanoi old quarter (30645886763).jpg	Thesupermat2	2265333	2016:10:28 11:10:42	taken	105.849671	21.038256	vision	0.95	Đồng Xuân Market, Hoàn Kiếm, Hanoi	Chợ Đồng Xuân, Ngõ Hàng Khoai 1, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Vi	amenity/marketplace	"Unmistakable triple-arched facade with ""Chợ Đồng Xuân"" lettering, seen from forecourt street"
3002124	File:Dong Xuan market.jpg	Nguyễn Thanh Quang	4539	2007:02:17 16:22:19	taken	105.849671	21.038256	vision	0.95	Đồng Xuân Market, Hoàn Kiếm, Hanoi	Chợ Đồng Xuân, Ngõ Hàng Khoai 1, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Vi	amenity/marketplace	"Arched facade with ""Chợ Đồng Xuân"" lettering and the forecourt memorial relief"
10730787	File:Evening traffic in Hanoi.jpg	Flickr upload bot	152505	2009-12-28 00:37:58	taken	105.851592	21.032077	vision	0.75	Đông Kinh Nghĩa Thục Square, Hoàn Kiếm, Hanoi	Quảng trường Đông Kinh Nghĩa Thục, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, 	place/square	Elevated night view of the fountain roundabout and lit arcaded corner block north of Hoàn Kiếm Lake
81178351	File:Faurie - Ofrenda floral a Ho Chi Minh.jpg	Cacen Gymraeg	2435095	2018:07:31 09:43:34	taken	105.834689	21.036783	vision	0.80	Ho Chi Minh Mausoleum, Ba Đình Square, Hanoi	Lăng Chủ tịch Hồ Chí Minh, 1, Đường Hùng Vương, Phường Ba Đình, Thành phố Hà Nội, 11120, V	historic/monument	White-uniformed honour guard carrying wreath on red carpet, Ba Đình lawn grid and yellow ministry building behind
110763907	File:Flag Tower (39592421634).jpg	Nguyenhai314	8955777	2018:01:30 09:33:01	taken	105.839825	21.032590	vision	0.90	Hanoi Flag Tower (Cột cờ Hà Nội), Điện Biên Phủ, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Hexagonal brick Flag Tower with flag, seen from below its base
3259016	File:Flag tower hanoi.jpg	Pierredh	235834	2004:06:20 15:11:38	taken	105.839825	21.032590	vision	0.90	Hanoi Flag Tower (Cột cờ Hà Nội), Điện Biên Phủ, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Hexagonal brick Flag Tower with national flag above hedges
2990098	File:Flag tower, Hanoi.jpg	Bogomolov.PL	111731	2018:07:29 22:27:04	taken	105.839825	21.032590	vision	0.95	Hanoi Flag Tower (Cột cờ Hà Nội), Điện Biên Phủ, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Flag Tower on its tiered brick base, close view from the grounds
